best	 mean
1089.15	   1.1056e+03

760.961	   9.3174e+02

649.588	   7.8186e+02

567.948	   6.9100e+02

532.434	   6.1153e+02

506.582	   5.5674e+02

503.163	   5.2802e+02

483.221	   5.0879e+02

468.424	   4.9592e+02

468.424	   4.8381e+02

446.013	   4.7240e+02

430.352	   4.5862e+02

421.872	   4.4268e+02

420.371	   4.3018e+02

413.148	   4.2203e+02

404.619	   4.1670e+02

399.215	   4.1047e+02

399.215	   4.0538e+02

399.215	   4.0366e+02

389.562	   4.0094e+02

389.562	   3.9621e+02

381.173	   3.9164e+02

363.808	   3.8594e+02

362.617	   3.7532e+02

352.704	   3.6530e+02

336.929	   3.5482e+02

336.929	   3.4393e+02

336.929	   3.3932e+02

336.929	   3.3809e+02

336.345	   3.3753e+02

336.345	   3.3720e+02

335.47	   3.3680e+02

334.073	   3.3636e+02

334.073	   3.3570e+02

333.448	   3.3502e+02

331.497	   3.3428e+02

328.834	   3.3284e+02

328.834	   3.3144e+02

327.224	   3.2987e+02

327.224	   3.2872e+02

326.21	   3.2769e+02

326.21	   3.2758e+02

322.267	   3.2709e+02

322.267	   3.2633e+02

322.267	   3.2547e+02

322.138	   3.2461e+02

320.187	   3.2286e+02

320.187	   3.2128e+02

304.247	   3.1402e+02

304.019	   3.0763e+02

304.019	   3.0429e+02

304.019	   3.0426e+02

304.019	   3.0425e+02

304.019	   3.0425e+02

304.019	   3.0425e+02

302.404	   3.0422e+02

302.404	   3.0410e+02

302.404	   3.0387e+02

302.404	   3.0367e+02

302.372	   3.0349e+02

302.372	   3.0312e+02

302.372	   3.0257e+02

302.372	   3.0237e+02

302.372	   3.0237e+02

299.109	   3.0237e+02

299.109	   3.0237e+02

299.109	   3.0237e+02

299.109	   3.0237e+02

299.109	   3.0202e+02

299.109	   3.0085e+02

299.109	   2.9927e+02

286.457	   2.9469e+02

286.457	   2.8913e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

286.457	   2.8709e+02

276.481	   2.8322e+02

276.382	   2.7862e+02

276.382	   2.7663e+02

276.382	   2.7643e+02

276.382	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

276.337	   2.7638e+02

275.588	   2.7637e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7630e+02

275.588	   2.7623e+02

275.588	   2.7617e+02

275.489	   2.7600e+02

275.489	   2.7576e+02

275.489	   2.7552e+02

275.489	   2.7549e+02

275.489	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7540e+02

275.15	   2.7523e+02

275.105	   2.7515e+02

275.105	   2.7515e+02

275.105	   2.7515e+02

274.095	   2.7477e+02

274.095	   2.7429e+02

274.095	   2.7413e+02

274.095	   2.7411e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

274.095	   2.7409e+02

271.917	   2.7340e+02

271.917	   2.7243e+02
